['Time', 'Result', 'Bet', 'Lose Streak', 'Martingale Base', 'Martingale Growth', 'Martingale', type, prob, strategy, moeda, caixa, profit, min_profit]
[datetime.datetime(2022, 11, 20, 16, 43, 4, 203684), 'loose', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.6762335, 'Stop Loss', 'EURUSD-OTC', 17832.55, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 16, 47, 4, 287012), 'loose', 2, 0, 2.1165, 1.2023, 1, 'Call', 0.76435566, 'Stop Loss', 'EURUSD-OTC', 17830.55, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 16, 49, 4, 175023), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.7053671, 'Stop Loss', 'EURUSD-OTC', 17834.74, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 16, 51, 4, 164395), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.7165309, 'Stop Loss', 'EURUSD-OTC', 17836.72, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 16, 53, 4, 123715), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.7310638, 'Stop Loss', 'EURUSD-OTC', 17838.7, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 16, 55, 4, 166416), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.7152912, 'Stop Loss', 'EURUSD-OTC', 17840.68, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 16, 57, 4, 197649), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.7744863, 'Stop Loss', 'EURUSD-OTC', 17838.68, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 16, 59, 4, 121718), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.7852084, 'Stop Loss', 'EURUSD-OTC', 17842.87, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 2, 4, 182792), 'loose', 2, 0, 2.1165, 1.2023, 1, 'Call', 0.6325103, 'Stop Loss', 'EURUSD-OTC', 17840.87, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 4, 4, 278959), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.71169645, 'Stop Loss', 'EURUSD-OTC', 17845.06, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 6, 4, 198202), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.59903705, 'Stop Loss', 'EURUSD-OTC', 17843.06, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 8, 4, 238537), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.5790868, 'Stop Loss', 'EURUSD-OTC', 17847.24, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 10, 4, 165668), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.5213876, 'Stop Loss', 'EURUSD-OTC', 17845.24, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 12, 4, 212449), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.5803128, 'Stop Loss', 'EURUSD-OTC', 17849.43, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 14, 4, 282201), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.6192022, 'Stop Loss', 'EURUSD-OTC', 17847.43, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 16, 4, 225816), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.5832136, 'Stop Loss', 'EURUSD-OTC', 17851.62, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 18, 4, 173044), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.54749954, 'Stop Loss', 'EURUSD-OTC', 17853.6, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 20, 4, 338946), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.6096805, 'Stop Loss', 'EURUSD-OTC', 17855.58, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 22, 4, 226085), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.6004166, 'Stop Loss', 'EURUSD-OTC', 17857.56, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 24, 4, 379871), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.56253403, 'Stop Loss', 'EURUSD-OTC', 17859.54, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 26, 4, 389876), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.7694234, 'Stop Loss', 'EURUSD-OTC', 17861.52, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 28, 4, 328972), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.7526563, 'Stop Loss', 'EURUSD-OTC', 17859.52, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 30, 4, 253476), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.68609834, 'Stop Loss', 'EURUSD-OTC', 17855.28, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 32, 4, 349218), 'win', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.6066728, 'Stop Loss', 'EURUSD-OTC', 17865.95, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 34, 4, 254747), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Put', 0.5015476, 'Stop Loss', 'EURUSD-OTC', 17867.93, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 36, 4, 273284), 'loose', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Put', 0.5625287, 'Stop Loss', 'EURUSD-OTC', 17865.93, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 38, 4, 246291), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.64200246, 'Stop Loss', 'EURUSD-OTC', 17870.12, 0.99, 0.82]
